id,surv.t,surv.e,x11,x12,x13,x14,x15,x21,x22,x31,x32,x33,x34,z1,z2
1,0.442639212,0,0.327824803,-0.186703234,-0.282632695,0.059145986,-1.066039484,0.555503178,-1.184506385,-1.125264741,-2.4570623,-0.89465914,-0.880946154,1.956970767,0
2,1.86500569,1,0.059999532,-0.967594504,0.148629145,0.486667644,0.09439999,-0.870258217,-0.222814828,0.397175256,0.049423073,0.636476993,0.354188093,-0.267768309,1
3,0.285075131,1,-0.076606934,-0.031098839,0.282015699,-1.275741034,-1.009310234,1.187640361,-0.645967643,0.391862582,-0.738916361,-1.634509928,0.06848193,1.012804791,0
4,2.202649754,1,0.863857175,0.375731286,0.748863762,0.856316356,1.006724548,-0.730108077,0.256595715,-1.243358263,-0.408872643,-1.659439341,-1.840493709,-0.382614141,0
5,0.004577755,1,2.251591184,1.188077034,2.155305697,2.246830415,2.202218052,1.202288994,0.440982255,-0.268162689,-0.441242155,0.251033286,0.025123284,-0.973896201,1
6,1.404471605,1,1.897514595,1.337156477,2.13414082,2.523865018,1.51821502,-0.359681621,-0.440969355,-0.838603945,-1.179967536,-0.943486959,-1.33530204,-1.314227556,1
7,1.184229357,1,-0.778089374,-0.695450217,0.180715102,0.099868052,-0.546555024,0.827187571,0.015595866,0.693953905,-1.406466653,-0.622430051,-0.585848357,0.057666047,1
8,0.175322757,1,-0.016582562,-0.339996677,-0.229601152,0.641878174,0.247690618,0.835550148,0.729518336,-0.855767695,-0.787611255,-1.242562808,0.267048936,1.915818319,0
9,0.42019194,1,0.776659682,-0.129446762,-0.564229771,0.720260519,-0.372296558,0.397452531,0.988193382,-1.103860995,-0.30042067,-0.931911964,-0.713078648,-0.699220347,1
10,3.603200406,1,-1.513633508,-0.850282209,-0.477546723,-0.47066219,0.013950505,0.773807765,-0.004112037,-1.500049454,1.358775471,0.1837753,-0.772629182,0.623397667,1
11,0.059900685,1,1.047123639,2.304042283,1.370599757,1.984509617,1.719470081,-0.056873497,0.327287485,0.033847939,0.192746779,-0.38416162,0.730223886,-1.134744279,1
12,0.543335631,1,-0.113293778,-1.108916517,0.254906839,0.186326061,0.439531805,-0.191435661,1.184743177,-1.015049552,-0.0817747,-1.012336187,0.166299466,0.082531771,1
13,1.078030891,0,-0.318881391,-0.127466316,-0.415863268,0.221929112,-0.143983394,-2.392026353,-0.067611783,0.483806604,-0.482971308,-1.107751106,0.944801428,-0.828190818,1
14,0.097023471,1,0.780869037,0.902180063,0.67533301,0.314311091,-0.008533605,-1.126112905,0.293280647,-0.176012317,-0.90852173,-1.104369433,-0.50722715,-1.374313905,0
15,12.82292226,0,0.175943331,0.373139315,1.48361396,-0.474171007,0.227581239,-1.923289357,-0.66594345,-2.000399308,-1.576989541,-2.150472645,-3.167857876,-0.542795967,0
