id,y,x11,x12,x13,x14,x15,x21,x22,x31,x32,x33,x34,z1,z2
1,4.005008343,-1.245560887,-2.367936738,-1.291549314,-1.890966689,-1.315810771,-1.226946269,1.461293615,1.40027005,1.010335059,0.766341519,1.077828547,0.810141869,1
2,2.506705287,-0.677506202,0.88921089,0.095534965,1.49867488,0.698710517,0.724150986,0.873926514,-0.367001666,-1.530248444,-0.552001531,0.766435188,-0.80024261,1
3,1.450635756,-0.551715524,-1.288360031,-0.804951356,-0.422412409,-0.605292784,1.029271614,0.946969415,-0.077052564,-1.308156954,-1.206346373,-1.470620962,0.916791053,1
4,2.107387096,0.298765753,0.460078376,-0.162950104,0.730045699,1.110623746,-0.194947711,1.084905863,-1.143389277,-0.655411106,-1.184468942,-1.865618794,1.38085861,0
5,0.494987436,-0.936508482,0.067401491,-0.456408249,0.396081611,-1.138478364,-0.261921174,-1.326473339,-0.620896874,0.247878888,-0.033657696,-0.586241336,0.694910693,0
6,3.798205243,-0.420089799,0.817037006,0.509530011,0.686057196,0.864056121,1.457108983,1.253883987,0.034603788,0.888488833,0.234537604,1.208715415,-0.307967432,0
7,5.573052125,0.913993987,0.858992391,0.818578924,0.703061807,1.028850198,2.156363682,1.200889294,0.41667499,-0.68259925,0.116735836,0.426752121,-0.571341483,0
8,-1.806077548,-1.557823878,-0.864380465,-0.765072708,-1.165305294,-0.914029941,-1.269941103,0.280147503,-0.248345505,-0.809575984,0.044774641,-1.032902315,-0.642406802,1
9,0.698938906,-0.132360503,2.30644453,1.413510047,1.308957818,0.689180641,-0.476476768,-0.587166854,0.231692548,0.872419751,-0.723961303,0.567850199,0.263530353,0
10,0.714279198,-1.861277905,-0.696695267,-0.958113214,-1.524603013,0.17887538,-0.344222828,-0.822530245,-0.282546387,-1.220049064,-1.251083342,1.068333249,1.386388666,1
11,0.82902062,1.0019674,0.450644223,0.030610213,1.333102063,0.937936562,-0.64451338,-0.587777228,0.904986009,0.317615334,1.048805445,0.937372539,-1.065528025,0
12,5.093811156,-0.190664306,0.485462439,-0.619752435,-0.563162614,-0.518314253,1.79595803,1.769233078,0.112096044,0.949500033,0.675360047,-0.802740305,1.030167447,1
13,-2.215399997,0.821394818,0.051831771,0.1863624,-0.202446978,-0.00532919,-0.909378088,-0.98438597,-0.150851686,-0.510317514,-0.316017589,-0.936147564,-0.736697416,0
14,0.143043785,-0.431082268,0.576764916,-0.157407686,0.868799045,-1.072143315,0.861703574,0.131495392,-1.902509705,-1.894577695,-2.001656745,-0.752973176,-1.301299253,1
15,1.892251228,-0.98437454,-1.500926142,-0.622684971,-0.998742451,-0.996661598,2.492256897,0.092081459,2.044446688,2.517956718,1.043487537,1.751299334,0.301658422,0
16,0.710230247,-1.463465189,-0.257389162,0.200087825,-0.88438119,-0.335275435,-1.093888378,0.051125902,1.289443853,-0.348924086,1.804398106,-0.549466403,-0.877178398,0
17,-2.527786697,-0.586689737,-0.174087227,-1.173058523,-1.327887636,-0.444833508,0.25534921,-0.067487958,-0.42377908,1.722826395,0.020474507,-0.275316714,-2.348047165,1
18,-1.318330209,-1.075133273,0.556785017,-0.148700716,-0.215851484,-0.899422005,0.90969006,1.592287639,-0.715335208,-0.479395394,-0.133746066,-0.673670163,-0.978301746,1
19,-1.547701776,-0.965564856,-0.320197149,-0.732833107,-0.311341036,-0.563373229,-1.427859472,1.434612324,-2.308116394,-2.691338286,-0.773650338,-1.35323822,1.380960863,0
20,-0.913623192,-1.433151454,-0.659935521,-0.90120667,-0.242922381,-0.738135716,-0.566436213,1.332145554,-1.462535825,1.419754713,0.334335409,0.539687305,-0.119983037,1
21,3.573509536,-0.396365835,0.526097066,0.75258333,0.930446238,0.048651564,1.8073708,-1.300997958,0.412707385,1.231794884,0.453540302,0.196416429,-0.056160544,0
22,-0.359393657,-0.656007295,0.526886067,0.042285579,0.636310046,0.905632967,-0.807274397,-0.934065077,0.302932619,0.567975581,0.234599186,0.200998292,1.983473171,0
23,2.0070322,0.391823636,1.126448967,0.948986749,0.770422994,0.690892957,-0.796969193,0.765474486,-0.386690038,-0.799856642,-0.226198966,0.621798562,0.902206184,0
24,2.042678363,0.461475931,-0.039822322,-0.227115429,-0.075559597,-0.789686316,0.512514676,0.85511489,-0.643791717,1.101312714,1.527605943,-0.197089136,0.219619742,1
25,-1.178166221,-0.725479148,-0.685830398,-0.363771242,-0.803846278,-0.220545413,-0.799989244,-0.783576016,0.915950197,0.645800782,-0.267875628,-0.943524555,-0.8007922,0
26,2.580983514,0.793091028,0.300233394,0.725812125,1.096826569,-0.133021993,-0.422900098,0.395070499,0.912227844,-0.212223887,0.442470851,0.376424032,-0.3375502,1
